"long","lat","County","State"
"-98.2093599958273","39.3932339487732","mitchell","kansas"
"-96.3423285396583","39.3789804454134","pottawatomie","kansas"
"-101.347369173013","38.4819427051002","wichita","kansas"
"-98.739616481132","37.6477069430064","pratt","kansas"
"-95.1467488181762","39.7880400765168","doniphan","kansas"
"-99.2365760116726","38.1813400153137","pawnee","kansas"
"-100.366200849415","37.238027403395","meade","kansas"
"-101.806040220582","38.48042492959","greeley","kansas"
"-95.3013749976724","37.8857014838189","allen","kansas"
"-97.6499557121395","38.7837831087915","saline","kansas"
"-98.2076957364253","39.0452964597106","lincoln","kansas"
"-100.871193640452","37.5621666397485","haskell","kansas"
"-100.466398783308","38.4811740724023","lane","kansas"
"-101.79923611359","37.1913181270591","morton","kansas"
"-96.2453829320932","37.1500367807173","chautauqua","kansas"
"-94.8223461213652","38.8837365199475","johnson","kansas"
"-95.2859564102384","38.564461886109","franklin","kansas"
"-96.7348283611194","39.2963282985794","riley","kansas"
"-101.731151829947","39.7857642631604","cheyenne","kansas"
"-97.6502091759829","39.132503626654","ottawa","kansas"
"-100.437862729418","37.7379570103679","gray","kansas"
"-98.7679597199702","39.3502164807891","osborne","kansas"
"-101.763621717684","38.9165616732377","wallace","kansas"
"-94.8518045898611","37.5072705430896","crawford","kansas"
"-94.8381028294021","38.5634711881883","miami","kansas"
"-95.3834255936155","39.2356527560995","jefferson","kansas"
"-101.308042405074","37.5622222361364","grant","kansas"
"-99.8879366264217","37.6916528549612","ford","kansas"
"-100.459938244827","39.7846201563397","decatur","kansas"
"-99.82029898978","37.2353678580746","clark","kansas"
"-99.8832549582962","39.3496035489351","graham","kansas"
"-98.7174944066542","38.0308629607329","stafford","kansas"
"-99.8979295169409","38.0874991233265","hodgeman","kansas"
"-101.312062898378","37.1922487766175","stevens","kansas"
"-95.292557255107","38.8846324712644","douglas","kansas"
"-97.1651847576874","39.3495521168913","clay","kansas"
"-100.737332565341","38.0442610669545","finney","kansas"
"-96.2441321306713","37.4536786110994","elk","kansas"
"-94.8429808877936","38.2122084672965","linn","kansas"
"-101.791226929717","37.9989138408803","hamilton","kansas"
"-100.906857544183","38.4820285297921","scott","kansas"
"-96.5229351309611","39.7834590280248","marshall","kansas"
"-97.6492696296018","39.480268815038","cloud","kansas"
"-98.2047460744932","38.6966032053451","ellsworth","kansas"
"-96.8375064070925","37.2376162249757","cowley","kansas"
"-98.0859846232328","37.9529466657743","reno","kansas"
"-95.743382969298","37.5591788886537","wilson","kansas"
"-101.05553226666","39.3508776211172","thomas","kansas"
"-98.785472421223","39.7850488870271","smith","kansas"
"-96.8390531445108","37.7809767311538","butler","kansas"
"-95.7401472810761","37.8866683573095","woodson","kansas"
"-94.7645417361748","39.114621483883","wyandotte","kansas"
"-98.7623637818344","38.9146814300794","russell","kansas"
"-99.3172604687266","38.9146333433496","ellis","kansas"
"-99.3250356633622","39.350121205923","rooks","kansas"
"-100.851301799298","37.1931865091308","seward","kansas"
"-95.7564307488202","39.0414458470667","shawnee","kansas"
"-95.2975696657623","37.1912096009631","labette","kansas"
"-101.075710757717","39.78515127471","rawlins","kansas"
"-95.038005160928","39.1991249082589","leavenworth","kansas"
"-95.2933249172326","38.2141346385269","anderson","kansas"
"-98.7564574250551","38.4788390688679","barton","kansas"
"-95.3134504128815","39.5317826941061","atchison","kansas"
"-99.9161550711313","38.4793431476296","ness","kansas"
"-97.6480394119657","38.3915511338296","mcpherson","kansas"
"-97.4272125521552","38.0432555018282","harvey","kansas"
"-99.3092146773179","38.5231182052931","rush","kansas"
"-94.8493271221334","37.8551488830275","bourbon","kansas"
"-98.1363393576494","37.5589053923439","kingman","kansas"
"-98.0754492903229","37.1915496006254","harper","kansas"
"-98.6847498559687","37.2287741361016","barber","kansas"
"-95.7428772422022","37.1924253268809","montgomery","kansas"
"-95.7269385229938","38.652182116336","osage","kansas"
"-100.44183585051","39.3502306444695","sheridan","kansas"
"-96.2326619570936","37.8775703470222","greenwood","kansas"
"-99.3120691116957","37.8876265803135","edwards","kansas"
"-100.4829625082","38.9160395905803","gove","kansas"
"-96.5939646867786","38.3018924986213","chase","kansas"
"-97.1526692940188","38.8662564447013","dickinson","kansas"
"-94.8462887697966","37.1692737816491","cherokee","kansas"
"-95.3067908493557","37.5584238000608","neosho","kansas"
"-96.7523665005869","39.002348520061","geary","kansas"
"-98.2009841988895","38.3471310535451","rice","kansas"
"-97.4765282308336","37.2372068390149","sumner","kansas"
"-101.319842607969","38.0000145017677","kearny","kansas"
"-96.6498276974458","38.6873949785333","morris","kansas"
"-101.719987714716","39.3513702403058","sherman","kansas"
"-95.7340951716012","38.2367743190214","coffey","kansas"
"-97.4610531144495","37.6846964707961","sedgwick","kansas"
"-97.0875229728209","39.7840611480198","washington","kansas"
"-96.0140750173028","39.7832512368795","nemaha","kansas"
"-97.6506161204446","39.8277344922463","republic","kansas"
"-99.9034755952572","39.7842575745876","norton","kansas"
"-96.2049944582148","38.9531777689505","wabaunsee","kansas"
"-98.2183358994431","39.7846221205633","jewell","kansas"
"-95.7937560199488","39.4166972559483","jackson","kansas"
"-99.2718490082565","37.1912100432745","comanche","kansas"
"-97.0967831486315","38.3587168031818","marion","kansas"
"-99.286054959496","37.5582103689259","kiowa","kansas"
"-96.1526437469653","38.4558823065807","lyon","kansas"
"-101.784194544092","37.5629828752543","stanton","kansas"
"-101.1483933071","38.9172642001039","logan","kansas"
"-99.8728459386455","38.9141986914355","trego","kansas"
"-99.3470183337117","39.7844525876756","phillips","kansas"
